'NLA.SP06.witness_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_composition' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_lower_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_upper_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_uniform_slope' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_root_exists_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_roots_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.continuous_radius_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_curve_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_curve_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_curve_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.auxiliary_radial_im' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radial_curve_symbol_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_real_jordan_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_toeplitz_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_eigenvalue_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_eigenvalue_im' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_nonreal_finite_spectrum' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.not_targetImplication' depends on axioms: [propext, Classical.choice, Quot.sound]
