NLA.MI06.modulus_eq_sqrt_proved: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_of_positive_square: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.rankOne_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.diagonal_table_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.rightModulusA_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.axialModulus_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.leftModulusB_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.rightModulusSum_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.leftModulusSum_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.missingA_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.missingB_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_witnessA: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_witnessA_adjoint: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_witnessB: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_witnessB_adjoint: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_sum: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.modulus_sum_adjoint: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.symmetricModulus_A: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.symmetricModulus_B: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.symmetricModulus_sum: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.symmetricA_decomposition: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.symmetricB_decomposition: [propext, Classical.choice, Quot.sound]
NLA.MI06.witness_moduli_proved: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.squaredLength_pos: [propext, Classical.choice, Quot.sound]
NLA.MI06.two_vector_orthogonal_proved: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_add: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_sub: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_smul: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_one: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_rankOne_zero: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_nonneg: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.quadraticForm_mono: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.unitaryConjugate_add: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.unitaryConjugate_sub: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.unitaryConjugate_smul: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.unitaryConjugate_one: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.unitaryConjugate_rankOne: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.unitaryConjugate_posSemidef: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.upper_bound_of_decomposition: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.symmetricSum_lower_bound: [propext, Classical.choice, Quot.sound]
NLA.MI06.witness_quadratic_bounds_proved: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.scalar_squared_gap: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.sqrt_two_lt_three_halves: [propext, Classical.choice, Quot.sound]
_private.NLA.MI06.Proof.0.NLA.MI06.scalar_coefficient_gap: [propext, Classical.choice, Quot.sound]
NLA.MI06.counterexample_proved: [propext, Classical.choice, Quot.sound]
NLA.MI06.not_dominationConjecture_proved: [propext, Classical.choice, Quot.sound]
NLA.MI06.modulus_eq_sqrt: [propext, Classical.choice, Quot.sound]
NLA.MI06.witness_moduli: [propext, Classical.choice, Quot.sound]
NLA.MI06.two_vector_orthogonal: [propext, Classical.choice, Quot.sound]
NLA.MI06.witness_quadratic_bounds: [propext, Classical.choice, Quot.sound]
NLA.MI06.counterexample: [propext, Classical.choice, Quot.sound]
NLA.MI06.not_dominationConjecture: [propext, Classical.choice, Quot.sound]
