'NLA.MI07.modulus_eq_sqrt_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.maximalModulus_eq_of_tendsto_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.root_limit_iff_spectralNorm_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.witness_moduli_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.rpow_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.rpow_real_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.posDef_rpow_tendsto_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.rootSequence_witnessA' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.rootSequence_witnessB' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.rootSequence_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.witness_root_limits_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.trace_unitaryConjugate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.scalar_gap_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.no_unitary_domination' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.counterexample_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI07.not_triangleConjecture_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
