zero_based_atom_index,family,mask,complement_mask
0,complement_pair,0,127
1,complement_pair,1,126
2,complement_pair,2,125
3,complement_pair,3,124
4,complement_pair,4,123
5,complement_pair,5,122
6,complement_pair,6,121
7,complement_pair,7,120
8,complement_pair,8,119
9,complement_pair,9,118
10,complement_pair,10,117
11,complement_pair,11,116
12,complement_pair,12,115
13,complement_pair,13,114
14,complement_pair,14,113
15,complement_pair,15,112
16,complement_pair,16,111
17,complement_pair,17,110
18,complement_pair,18,109
19,complement_pair,19,108
20,complement_pair,20,107
21,complement_pair,21,106
22,complement_pair,22,105
23,complement_pair,23,104
24,complement_pair,24,103
25,complement_pair,25,102
26,complement_pair,26,101
27,complement_pair,27,100
28,complement_pair,28,99
29,complement_pair,29,98
30,complement_pair,30,97
31,complement_pair,31,96
32,complement_pair,32,95
33,complement_pair,33,94
34,complement_pair,34,93
35,complement_pair,35,92
36,complement_pair,36,91
37,complement_pair,37,90
38,complement_pair,38,89
39,complement_pair,39,88
40,complement_pair,40,87
41,complement_pair,41,86
42,complement_pair,42,85
43,complement_pair,43,84
44,complement_pair,44,83
45,complement_pair,45,82
46,complement_pair,46,81
47,complement_pair,47,80
48,complement_pair,48,79
49,complement_pair,49,78
50,complement_pair,50,77
51,complement_pair,51,76
52,complement_pair,52,75
53,complement_pair,53,74
54,complement_pair,54,73
55,complement_pair,55,72
56,complement_pair,56,71
57,complement_pair,57,70
58,complement_pair,58,69
59,complement_pair,59,68
60,complement_pair,60,67
61,complement_pair,61,66
62,complement_pair,62,65
63,complement_pair,63,64
64,singleton,1,
65,singleton,2,
66,singleton,4,
67,singleton,8,
68,singleton,16,
69,singleton,32,
70,singleton,64,
71,pair,3,
72,pair,5,
73,pair,9,
74,pair,17,
75,pair,33,
76,pair,65,
77,pair,6,
78,pair,10,
79,pair,18,
80,pair,34,
81,pair,66,
82,pair,12,
83,pair,20,
84,pair,36,
85,pair,68,
86,pair,24,
87,pair,40,
88,pair,72,
89,pair,48,
90,pair,80,
91,pair,96,
92,four_set,15,
93,four_set,23,
94,four_set,39,
95,four_set,71,
96,four_set,27,
97,four_set,43,
98,four_set,75,
99,four_set,51,
100,four_set,83,
101,four_set,99,
102,four_set,29,
103,four_set,45,
104,four_set,77,
105,four_set,53,
106,four_set,85,
107,four_set,101,
108,four_set,57,
109,four_set,89,
110,four_set,105,
111,four_set,113,
112,four_set,30,
113,four_set,46,
114,four_set,78,
115,four_set,54,
116,four_set,86,
117,four_set,102,
118,four_set,58,
119,four_set,90,
120,four_set,106,
121,four_set,114,
122,four_set,60,
123,four_set,92,
124,four_set,108,
125,four_set,116,
126,four_set,120,
